text,category
"We are in the process of bidding FPS package for Adani Mundra West Port, ISBL and OSBL Project. Kindly provide your best prices for aerosol based fire protection systems for various HT, LT panels, battery rooms and UPS rooms. Includes: Substation 12 – Rio Room (MCC, PCC, APFC, MLDB Panels), Lighting Transformer Rooms, and 11 KV Main Switchboard. BOQ shared for quotation.",quotation_request
"We are in the process of bidding FPS package for Adani Mundra West Port, ISBL and OSBL Project. Kindly provide your best prices for aerosol based fire protection systems for various HT, LT panels, battery rooms and UPS rooms. Includes: Substation 12 – Rio Room (MCC, PCC, APFC, MLDB Panels), Lighting Transformer Rooms, and 11 KV Main Switchboard. BOQ shared for quotation.",quotation_request
"Kindly quote for marine grade extinguishers as per SOLAS standards. Required: CO2, DCP, and foam variants.",quotation_request
"Kindly quote for marine grade extinguishers as per SOLAS standards. Required: CO2, DCP, and foam variants.",quotation_request
Please provide a quotation for 25 units of 6 kg ABC fire extinguishers with wall mounting brackets and ISI certification.,quotation_request
Please provide a quotation for 25 units of 6 kg ABC fire extinguishers with wall mounting brackets and ISI certification.,quotation_request
The invoice sent does not match the quoted amount. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
The invoice sent does not match the quoted amount. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
Installation team arrived late and were unprepared.,complaint
the installation team arrived late and were not prepared,complaint
Delivery was delayed by more than a week despite commitment. As per PO #22483.,complaint
Delivery was delayed by more than a week despite commitment. As per PO #22483.,complaint
"Please find the below enquiry and quote your best prices. Project: Equinix Project, Chennai. Required: 134 Nos of 4.5 kg CO2 ISI marked fire extinguishers with wall brackets, and 18 Nos of 6 kg ABC type stored pressure extinguishers with mounting brackets. Installation as per structure. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
"Please find the below enquiry and quote your best prices. Project: Equinix Project, Chennai. Required: 134 Nos of 4.5 kg CO2 ISI marked fire extinguishers with wall brackets, and 18 Nos of 6 kg ABC type stored pressure extinguishers with mounting brackets. Installation as per structure. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
"Dear Sir, Greetings & hope you are doing well !! This has reference to the above cited subject, regarding the requirement of GAS AEROSOL GENERATOR,FIRE EXTINGUISHER,AEROSOL GAS RELEASE FIRE PANE AND FIRE DETECTION SYSTEM for our project. Kindly find the enclosed technical specification for your reference. We request you to kindly provide your best quotation along with the following documents. MAKE IN INDIA DECLRATION – MII Datasheet of the offered product Make / Model : HSN Code : ·Warranty confirmation : ·All relevant certificates such as Equipment Type Approval, EC, BIS, and other relevant certificates if applicable. We appreciate your prompt attention to this matter and your assistance. Should you require any further clarification kindly suggest. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",general_enquiry
"Dear Sir, Greetings & hope you are doing well !! This has reference to the above cited subject, regarding the requirement of GAS AEROSOL GENERATOR,FIRE EXTINGUISHER,AEROSOL GAS RELEASE FIRE PANE AND FIRE DETECTION SYSTEM for our project. Kindly find the enclosed technical specification for your reference. We request you to kindly provide your best quotation along with the following documents. MAKE IN INDIA DECLRATION – MII Datasheet of the offered product Make / Model : HSN Code : ·Warranty confirmation : ·All relevant certificates such as Equipment Type Approval, EC, BIS, and other relevant certificates if applicable. We appreciate your prompt attention to this matter and your assistance. Should you require any further clarification kindly suggest. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",general_enquiry
"Dear, My name is Quynh Anh Nguyen, Purchasing Manager of HAANH Group. We are currently sourcing aerosol fire extinguishing units (2.5kg–5kg) for an upcoming defense project in Vietnam. Our company has over 20 years of experience delivering major national projects in partnership with key government agencies such as the Ministry of National Defense and the Ministry of Public Security. We are seeking reliable, certified products for use in high risk environments such as server rooms, electrical panels, and control cabinets. For this project, it is mandatory that the units are UL 2775 certified or FM approved. We kindly request the following information: Product catalogue and technical datasheet Copy of UL or FM certificate (scanned) Best quotation for bulk quantity Estimated lead time and delivery schedule Warranty and aftersales service details We look forward to your prompt response and the opportunity to collaborate with your company. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
"Dear, My name is Quynh Anh Nguyen, Purchasing Manager of HAANH Group. We are currently sourcing aerosol fire extinguishing units (2.5kg–5kg) for an upcoming defense project in Vietnam. Our company has over 20 years of experience delivering major national projects in partnership with key government agencies such as the Ministry of National Defense and the Ministry of Public Security. We are seeking reliable, certified products for use in high risk environments such as server rooms, electrical panels, and control cabinets. For this project, it is mandatory that the units are UL 2775 certified or FM approved. We kindly request the following information: Product catalogue and technical datasheet Copy of UL or FM certificate (scanned) Best quotation for bulk quantity Estimated lead time and delivery schedule Warranty and aftersales service details We look forward to your prompt response and the opportunity to collaborate with your company. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry
Your team did not respond to follow up emails regarding installation. As per PO #50436.,complaint
your team did not respond to follow up emails regarding the installation,complaint
your team did not respond to follow up emails regarding installation,complaint
your team did not respond to follow up emails concerning installation as per po 50436,complaint
Installation team arrived unprepared and delayed our project timeline. Preferred Model No: ABC-6KG.,complaint
Installation team arrived unprepared and delayed our project timeline. Preferred Model No: ABC-6KG.,complaint
What are the servicing charges and schedule for your DCP extinguishers?,general_enquiry
tell me the service charge for your dcp extinguishers?,general_enquiry
"We urgently require a quotation for the following items: 15 Nos of 9L foam extinguishers with spare charge, 1 No of 5kg CO2 Class B extinguisher with spare charge, 1 No of 45L portable foam applicator, and 2 Nos of 6kg powder extinguishers with spare charge. All items should have SOLAS 74, MSC 98(73), and EU MED approval. Please send your best offer at the earliest. Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request
"We urgently require a quotation for the following items: 15 Nos of 9L foam extinguishers with spare charge, 1 No of 5kg CO2 Class B extinguisher with spare charge, 1 No of 45L portable foam applicator, and 2 Nos of 6kg powder extinguishers with spare charge. All items should have SOLAS 74, MSC 98(73), and EU MED approval. Please send your best offer at the earliest. Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request
"What certifications do your extinguishers carry (ISI, CE, etc.)?",general_enquiry
which certifications do your fire extinguishers carry?,general_enquiry
what certification do your extinguishers hold? is it ce?,general_enquiry
Several units arrived without safety pins attached.,complaint
several units arrived without safety pins,complaint
several units arrived with no safety pins attached,complaint
several units arrived without safety pins attached,complaint
We noticed missing brackets in the package for the 4.5kg CO2 units. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-,complaint
Delivery was made at wrong address despite clear instructions. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
Delivery was made at wrong address despite clear instructions. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint
"Please provide your quotation for Firefite make extinguishers at Philips R&D Center, Pimpri Pune. Items include: ISI marked 4.5 kg CO2 extinguishers with 90% MAP and mounting brackets, ISI marked 6 kg ABC type stored pressure extinguishers with brackets, ISI marked 4.5 kg DCP stored pressure extinguishers with brackets, and a set of 4 sand buckets (2 coats red oxide + PO red paint), wall/floor mounted. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request
"Please find the below enquiry and send the most competitive rates. Required: 47 Nos of ISI marked 4.5 kg CO2 fire extinguishers with wall mounting brackets (55B Fire Rating), and 5 Nos of 9 kg CO2 fire extinguishers with brackets (55B Fire Rating). Preferred makes: Firefite, Minimax, Kanex. Preferred Model No: DCP-4KG.",quotation_request
"Please find the below enquiry and send the most competitive rates. Required: 47 Nos of ISI marked 4.5 kg CO2 fire extinguishers with wall mounting brackets (55B Fire Rating), and 5 Nos of 9 kg CO2 fire extinguishers with brackets (55B Fire Rating). Preferred makes: Firefite, Minimax, Kanex. Preferred Model No: DCP-4KG.",quotation_request
Please share pricing and availability for 4 sets of extinguishers and associated brackets for commercial installation. Preferred Model No: FMX-2.5L.,quotation_request
