text,category,email_length,num_questions,num_exclamations,contains_table,has_po,has_gst,has_model,has_urgent,has_project,has_specs,has_legal,has_pricing_word,has_certification_request,follow_up_signal,is_escalation,context_reference
"We are in the process of bidding FPS package for Adani Mundra West Port, ISBL and OSBL Project. Kindly provide your best prices for aerosol based fire protection systems for various HT, LT panels, battery rooms and UPS rooms. Includes: Substation 12 – Rio Room (MCC, PCC, APFC, MLDB Panels), Lighting Transformer Rooms, and 11 KV Main Switchboard. BOQ shared for quotation.",quotation_request,373,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Kindly quote for marine grade extinguishers as per SOLAS standards. Required: CO2, DCP, and foam variants.",quotation_request,106,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Please provide a quotation for 25 units of 6 kg ABC fire extinguishers with wall mounting brackets and ISI certification.,quotation_request,121,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
The invoice sent does not match the quoted amount. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Installation team arrived late and were unprepared.,complaint,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delivery was delayed by more than a week despite commitment. As per PO #22483.,complaint,82,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Please find the below enquiry and quote your best prices. Project: Equinix Project, Chennai. Required: 134 Nos of 4.5 kg CO2 ISI marked fire extinguishers with wall brackets, and 18 Nos of 6 kg ABC type stored pressure extinguishers with mounting brackets. Installation as per structure. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request,341,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
"Dear Sir, Greetings & hope you are doing well !! This has reference to the above cited subject, regarding the requirement of GAS AEROSOL GENERATOR,FIRE EXTINGUISHER,AEROSOL GAS RELEASE FIRE PANE AND FIRE DETECTION SYSTEM for our project. Kindly find the enclosed technical specification for your reference. We request you to kindly provide your best quotation along with the following documents. MAKE IN INDIA DECLRATION – MII Datasheet of the offered product Make / Model : HSN Code : ·Warranty confirmation : ·All relevant certificates such as Equipment Type Approval, EC, BIS, and other relevant certificates if applicable. We appreciate your prompt attention to this matter and your assistance. Should you require any further clarification kindly suggest. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",general_enquiry,813,0,2,1,0,1,1,0,1,1,1,1,1,0,0,0
"Dear, My name is Quynh Anh Nguyen, Purchasing Manager of HAANH Group. We are currently sourcing aerosol fire extinguishing units (2.5kg–5kg) for an upcoming defense project in Vietnam. Our company has over 20 years of experience delivering major national projects in partnership with key government agencies such as the Ministry of National Defense and the Ministry of Public Security. We are seeking reliable, certified products for use in high risk environments such as server rooms, electrical panels, and control cabinets. For this project, it is mandatory that the units are UL 2775 certified or FM approved. We kindly request the following information: Product catalogue and technical datasheet Copy of UL or FM certificate (scanned) Best quotation for bulk quantity Estimated lead time and delivery schedule Warranty and aftersales service details We look forward to your prompt response and the opportunity to collaborate with your company. Our GST No: 27AABCU9603R1ZV is applicable.",general_enquiry,999,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0
Your team did not respond to follow up emails regarding installation. As per PO #50436.,complaint,88,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Installation team arrived unprepared and delayed our project timeline. Preferred Model No: ABC-6KG.,complaint,98,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
What are the servicing charges and schedule for your DCP extinguishers?,general_enquiry,71,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"We urgently require a quotation for the following items: 15 Nos of 9L foam extinguishers with spare charge, 1 No of 5kg CO2 Class B extinguisher with spare charge, 1 No of 45L portable foam applicator, and 2 Nos of 6kg powder extinguishers with spare charge. All items should have SOLAS 74, MSC 98(73), and EU MED approval. Please send your best offer at the earliest. Our GST No: 27AABCU9603R1ZV is applicable.",quotation_request,432,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
"What certifications do your extinguishers carry (ISI, CE, etc.)?",general_enquiry,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Several units arrived without safety pins attached.,complaint,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"We noticed missing brackets in the package for the 4.5kg CO2 units. Kindly include GST No: 27AAACX1234Z1Z in the invoice. Items: Item: 4kg CO2 | Qty: 5 | Rate: Rs. 2400/-",complaint,167,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
Delivery was made at wrong address despite clear instructions. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Please provide your quotation for Firefite make extinguishers at Philips R&D Center, Pimpri Pune. Items include: ISI marked 4.5 kg CO2 extinguishers with 90% MAP and mounting brackets, ISI marked 6 kg ABC type stored pressure extinguishers with brackets, ISI marked 4.5 kg DCP stored pressure extinguishers with brackets, and a set of 4 sand buckets (2 coats red oxide + PO red paint), wall/floor mounted. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request,459,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
"Please find the below enquiry and send the most competitive rates. Required: 47 Nos of ISI marked 4.5 kg CO2 fire extinguishers with wall mounting brackets (55B Fire Rating), and 5 Nos of 9 kg CO2 fire extinguishers with brackets (55B Fire Rating). Preferred makes: Firefite, Minimax, Kanex. Preferred Model No: DCP-4KG.",quotation_request,319,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Please share pricing and availability for 4 sets of extinguishers and associated brackets for commercial installation. Preferred Model No: FMX-2.5L.,quotation_request,146,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Received CO2 extinguishers without wall brackets as committed in PO.,complaint,68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Do you provide training for fire extinguisher use after purchase?,general_enquiry,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There was a mismatch in the number of items delivered vs invoice. Preferred Model No: FMX-2.5L.,complaint,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Dear Team, We have an urgent requirement of CO2 Fire Extinguishers & Firefighting Foam for PKG 01 & PKG 02 as per attached specification. Request you to please go through the same and submit your offer with complete terms & conditions. Technical Acceptance cum Deviation Sheet duly filled, signed and stamped shall be required along with offer. Also please submit the Catalogue or Datasheet of the items you intend to quote. The following points needs to be considered while submitting the offer :  Incoterm : DDP MPT Central Warehouse & Bhagyam Warehouse (Vedanta Barmer – Rajasthan) as per Qty specified in attached sheet. Packing & Forwarding, Freight, Transit Insurance shall be in your scope. It shall be included in your quoted price. No extra charges shall be payable. GST Rate & HSN Code should be mentioned clearly. Payment Terms : Within 30 days from receipt & acceptance of material at site. Offer Validity shall be 90 days minimum. Lead time to be confirmed. Warranty Period to be confirmed Material Test Certificates/Warranty Certificates shall be required along with material. Please note that this is our firm requirement, so your complete offer (duly signed & stamped) should be submitted within 3 working days from receipt of this mail. Preferred Model No: ABC-6KG.",general_enquiry,1281,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0
"Please send us your best offer for the following: 1 No 50L foam filled wheeled fire extinguisher, inside cartridge type MMD approved, 2 Nos of 9L foam extinguishers (Make: Andex), 4 Nos of 10 kg DCP dry chemical powder extinguishers, 6 Nos of 200g cartridges, 12 CO2 hoses with horn for 6.8 kg capacity, and 6 DCP hoses with horn for 10 kg capacity. RFQ #: 01 25 00277, BARG Marine & Industrial Projects Pvt. Ltd. Kindly include GST No: 27AAACX1234Z1Z in the invoice.",quotation_request,467,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
Refilling quality seems poor multiple complaints from safety officer. As per PO #36062.,complaint,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Received 5 kg units instead of the requested 6 kg extinguishers.,complaint,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kindly send your quotation for the enclosed list of industrial fire safety products including CO2 and DCP types.,quotation_request,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Material was delivered without the required test certificates.,complaint,62,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Can you confirm the warranty and refilling interval for ABC extinguishers?,general_enquiry,74,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Requesting quotation for 12 units of 9L foam extinguishers for our warehouse safety audit next month. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,quotation_request,155,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Refilling was not done as committed in the AMCs. Kindly include GST No: 27AAACX1234Z1Z in the invoice.,complaint,102,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Dear Sir, we require the following material for our MRVCL, Mumbai Railway Project: 120 Nos of 6.5 kg CO2 type fire extinguishers. Please quote your best possible minimum rates along with the delivery schedule at the earliest so that the order can be finalized.",quotation_request,260,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"Please quote for the following items as per requirements and share your catalogues at the earliest. Required: 38 pieces of 6 kg fire extinguishers with IRS approval. Contact: Seahawk Marine Supply, Mumbai. As per PO #50362.",quotation_request,224,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
"Request for quotation IRS approved portable fire extinguishers. Required: 25 units of 9L foam extinguishers, 14 CO₂ cartridges (90g), refilling & CO₂ cartridge for 45L wheeled foam extinguisher (2 Nos), for 135L extinguisher (1 No), 1 foam applicator, 3 AFFF 20L (6%) foam cans, and transportation cost to Mumbai port. Please quote urgently. Reference PO#: 11008.",quotation_request,360,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
Can you share the technical specs of your 6kg ABC extinguisher?,general_enquiry,63,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hi Team, Good Day. I wanted to check with you if your Fire Fite brand fire extinguishers have type approval certificates. I am specifically looking for ABC (Stored Pressure) Type Fire Extinguisher 02 Kg. Capacity. As per IS : 15683.",general_enquiry,232,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Kindly provide your quotation with best price for the following: 38 Nos of 4.5 kg CO2 fire extinguishers with wall mounting brackets (ISI mark), 43 Nos of 6 kg ABC type stored pressure fire extinguishers (ISI mark), 1 No of 9L handheld K type fire extinguisher with brackets, and 1 No of mechanical foam type fire extinguisher with valve, fill, horn and trolley. Required by Argus Secure. Preferred Model No: DCP-4KG.",quotation_request,416,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
"Hello sir, My Name is Navi and I am from California USA. I am running my own buisness in India and And I Have best Clint list over there. Now recently I shifted to USA from last 3 year. We plan to work here also with same profession to sell fire fighting equipment. I looking for one of the best brand and manufacturer's which one full fill our requirements in USA and India also after search on internet I see your brand is suitable for me . Hope your brand and company support me to sell best quality to the customers satisfaction. First we start with extinguisher sale of your brand so plz send me your price list and your brand catalog for me . give me best price so that we can beat other brands in Markit. ABC 2lb to 10 lb ABC 4 kg. 6 kg. 10kg Note: I have 13/14 year experience in fire and industrial safety and also member of NFPA And FSAI ( INDIA)was worked with world leadings brands. We are waiting for your reply.",general_enquiry,925,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Looking for your office address and lead time for a site visit. Preferred Model No: DCP-4KG.,general_enquiry,91,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
